symbol,market,concentration_pct,top20_concentration_pct,holder_hhi,largest_holder_pct,ranked_holder_count,concentration_gap_pct,has_data_anomaly,ownership_structure,evidence_count,data_confidence
0001.HK,hk,56.2090000000001,46.7911,0.09439109441699994,30.3634,20,9.417900000000103,False,dominant_holder,4,high
0002.HK,hk,42.2922000000001,38.4324,0.042103452050000004,16.2491,20,3.8598000000000994,False,fragmented_or_mixed,4,high
0003.HK,hk,54.8270000000001,51.7103,0.173452953293,41.526,20,3.116700000000101,False,dominant_holder,4,high
0004.HK,hk,72.9156000000001,72.2411,0.4683131555350001,68.4193,20,0.6745000000000942,False,dominant_holder,4,high
0005.HK,hk,52.6140000000002,40.2195,0.022401701129,9.2317,20,12.394500000000207,False,broad_institutional,4,high
0006.HK,hk,55.8745,51.3713,0.13217331891900005,36.0142,20,4.5032,False,dominant_holder,4,high
0007.HK,hk,36.7284,36.7284,0.07403002532,24.1006,2,0.0,False,dominant_holder,4,high
0008.HK,hk,60.8368,59.1404,0.13594255670799998,31.8045,20,1.696399999999997,False,dominant_holder,4,high
0010.HK,hk,64.6207000000001,63.2936,0.15974224445200003,38.3678,20,1.327100000000101,False,dominant_holder,4,high
0011.HK,hk,101.4786,101.3946,1.0000303783339999,100.0,20,0.08400000000000318,True,data_anomaly,1,low
0012.HK,hk,82.3843000000002,79.7138,0.5259851371019999,72.4954,20,2.670500000000189,False,dominant_holder,4,high
0013.HK,hk,58.1769,53.8552,0.14715206206000003,38.1137,20,4.3217,False,dominant_holder,4,high
0014.HK,hk,55.1999,51.7042,0.178898357782,42.174,20,3.4956999999999994,False,dominant_holder,4,high
0016.HK,hk,71.3989000000001,62.9916,0.11047251954999998,31.0388,20,8.407300000000099,False,dominant_holder,4,high
0017.HK,hk,52.2469,51.1504,0.20513969367,45.2362,20,1.096499999999999,False,dominant_holder,4,high
0018.HK,hk,74.8324,74.8324,0.2839667416,51.0001,8,0.0,False,dominant_holder,4,high
0019.HK,hk,74.7669000000001,69.375,0.32456845897000003,56.8532,20,5.391900000000106,False,dominant_holder,4,high
0020.HK,hk,44.4241,39.644,0.03186267477400001,16.5587,20,4.7801000000000045,False,fragmented_or_mixed,4,high
0021.HK,hk,63.332,63.332,0.24062855072600003,46.4919,3,0.0,False,dominant_holder,4,high
0022.HK,hk,15.6042,15.6042,0.024349105764000005,15.6042,2,0.0,False,fragmented_or_mixed,4,high
0023.HK,hk,69.8593000000001,68.4773,0.10666634340700001,19.7308,20,1.3820000000001045,False,dominant_holder,4,high
0025.HK,hk,68.5345,68.5345,0.39796423991700003,62.8975,8,0.0,False,dominant_holder,4,high
0026.HK,hk,51.4647,51.4647,0.06723423227299997,15.8637,19,0.0,False,broad_institutional,4,high
0027.HK,hk,74.4330000000001,65.6675,0.074557502399,22.2249,20,8.765500000000102,False,dominant_holder,4,high
0028.HK,hk,94.6815,94.6815,0.398573025915,59.2954,12,0.0,False,dominant_holder,4,high
0029.HK,hk,41.2926,41.2926,0.14145606384800005,37.5767,13,0.0,False,dominant_holder,4,high
0030.HK,hk,74.2888,74.2888,0.5431624247080001,73.6948,3,0.0,False,dominant_holder,4,high
0031.HK,hk,39.3852,39.3852,0.147290570514,38.366,5,0.0,False,dominant_holder,4,high
0032.HK,hk,73.6212,73.6212,0.5362417920799999,73.2281,5,0.0,False,dominant_holder,4,high
0033.HK,hk,1.4497,1.4497,0.000210163009,1.4497,1,0.0,False,fragmented_or_mixed,4,high
0034.HK,hk,74.6464,74.6464,0.53973951479,73.4638,11,0.0,False,dominant_holder,4,high
0035.HK,hk,65.0038,65.0038,0.319976914972,56.3139,20,0.0,False,dominant_holder,4,high
0037.HK,hk,42.9729,42.9729,0.08981130321299997,25.8404,8,0.0,False,dominant_holder,4,high
0038.HK,hk,39.3484,37.3668,0.013292652538,7.0041,20,1.9816000000000003,False,fragmented_or_mixed,4,high
0039.HK,hk,29.6622,29.6622,0.028763294948000003,11.057,9,0.0,False,fragmented_or_mixed,4,high
0040.HK,hk,58.119,58.119,0.096429179042,26.9191,9,0.0,False,dominant_holder,4,high
0041.HK,hk,78.3357,78.1442,0.4126344927800001,63.756,20,0.1915000000000049,False,dominant_holder,4,high
0045.HK,hk,78.9739,78.9739,0.296674752721,51.5691,15,0.0,False,dominant_holder,4,high
0046.HK,hk,73.9377,73.9377,0.24730313989500002,46.9087,9,0.0,False,dominant_holder,4,high
0048.HK,hk,3.825,3.825,0.0012064456499999998,3.464,3,0.0,False,fragmented_or_mixed,4,high
0050.HK,hk,36.4189,36.4189,0.11663739747100002,34.1313,12,0.0,False,dominant_holder,4,high
0051.HK,hk,80.0045,80.0045,0.5180977848169999,71.5268,6,0.0,False,dominant_holder,4,high
0052.HK,hk,53.2278,53.2278,0.14677411452399997,37.649,17,0.0,False,dominant_holder,4,high
0053.HK,hk,82.8357,82.8357,0.5474112426369999,73.5472,12,0.0,False,dominant_holder,4,high
0055.HK,hk,28.2962,28.2962,0.032509877608000004,15.7373,6,0.0,False,fragmented_or_mixed,4,high
0057.HK,hk,76.29,76.29,0.40895020927599995,63.3787,14,0.0,False,dominant_holder,4,high
0058.HK,hk,74.6424,74.6424,0.5577723386169999,74.6424,4,0.0,False,dominant_holder,4,high
