market,symbol,holder_name,holding_pct,rank
hk,0001.HK,Li (Ka Shing),30.3634,1
hk,0001.HK,"BlackRock Institutional Trust Company, N.A.",2.8171,2
hk,0001.HK,"Vanguard Capital Management, LLC",2.0805,3
hk,0001.HK,Aviva Investors Global Services Limited,1.5256,4
hk,0001.HK,Norges Bank Investment Management (NBIM),1.2165,5
hk,0001.HK,Capital Research Global Investors,1.1378,6
hk,0001.HK,Hang Seng Investment Management Ltd.,0.8415,7
hk,0001.HK,"Geode Capital Management, L.L.C.",0.8358,8
hk,0001.HK,"Wellington Management Company, LLP",0.7426,9
hk,0001.HK,BlackRock Asset Management Ireland Limited,0.7126,10
hk,0001.HK,"Thornburg Investment Management, Inc.",0.6447,11
hk,0001.HK,Baillie Gifford & Co.,0.5991,12
hk,0001.HK,BlackRock Advisors (UK) Limited,0.4986,13
hk,0001.HK,"Cobas Asset Management, SGIIC, SA",0.4623,14
hk,0001.HK,"Dacheng Fund Management Co., Ltd.",0.4602,15
hk,0001.HK,"Dimensional Fund Advisors, L.P.",0.4294,16
hk,0001.HK,"Charles Schwab Investment Management, Inc.",0.397,17
hk,0001.HK,Hermes Investment Management Ltd.,0.3583,18
hk,0001.HK,"Kopernik Global Investors, LLC",0.3459,19
hk,0001.HK,DJE Kapital AG,0.3222,20
hk,0002.HK,Harneys Trustees Ltd,16.2491,1
hk,0002.HK,"Bermuda Trust Co., Ltd.",12.0957,2
hk,0002.HK,"Vanguard Capital Management, LLC",1.8845,3
hk,0002.HK,"BlackRock Institutional Trust Company, N.A.",1.8,4
hk,0002.HK,Aviva Investors Global Services Limited,1.0973,5
hk,0002.HK,"Geode Capital Management, L.L.C.",0.9544,6
hk,0002.HK,Hang Seng Investment Management Ltd.,0.8339,7
hk,0002.HK,MFS Investment Management,0.4834,8
hk,0002.HK,BlackRock Advisors (UK) Limited,0.4542,9
hk,0002.HK,"ICBC UBS Asset Management Co., Ltd.",0.4012,10
hk,0002.HK,"Charles Schwab Investment Management, Inc.",0.274,11
hk,0002.HK,First Sentier Investors,0.2733,12
hk,0002.HK,BlackRock Asset Management Deutschland AG,0.2526,13
hk,0002.HK,JP Morgan Asset Management,0.2458,14
hk,0002.HK,JPMorgan Asset Management (China) Company Limited.,0.2287,15
hk,0002.HK,California Public Employees' Retirement System,0.2155,16
hk,0002.HK,State Street Investment Management (US),0.2012,17
hk,0002.HK,Vanguard Asset Management Ltd,0.1724,18
hk,0002.HK,Legal & General Investment Management Ltd.,0.1641,19
hk,0002.HK,APG Asset Management N.V.,0.1511,20
hk,0003.HK,Henderson Land Development Co Ltd,41.526,1
hk,0003.HK,"Vanguard Capital Management, LLC",1.7319,2
hk,0003.HK,"BlackRock Institutional Trust Company, N.A.",1.5451,3
hk,0003.HK,Aviva Investors Global Services Limited,1.4264,4
hk,0003.HK,"Geode Capital Management, L.L.C.",0.8459,5
hk,0003.HK,Norges Bank Investment Management (NBIM),0.7887,6
hk,0003.HK,Hang Seng Investment Management Ltd.,0.722,7
hk,0003.HK,BlackRock Advisors (UK) Limited,0.4322,8
hk,0003.HK,JPMorgan Asset Management (China) Company Limited.,0.3362,9
hk,0003.HK,Li (Kwok Po David),0.3269,10
hk,0003.HK,"Dimensional Fund Advisors, L.P.",0.2722,11
hk,0003.HK,RREEF America L.L.C.,0.2646,12
hk,0003.HK,Legal & General Investment Management Ltd.,0.2379,13
hk,0003.HK,"Charles Schwab Investment Management, Inc.",0.2263,14
hk,0003.HK,JP Morgan Asset Management,0.2045,15
hk,0003.HK,BlackRock Investment Management (UK) Ltd.,0.2019,16
hk,0003.HK,California Public Employees' Retirement System,0.1973,17
hk,0003.HK,Vanguard Asset Management Ltd,0.1579,18
hk,0003.HK,Nuveen LLC,0.1361,19
hk,0003.HK,State Street Investment Management (US),0.1303,20
hk,0004.HK,Wheelock And Co Ltd,68.4193,1
hk,0004.HK,"Vanguard Capital Management, LLC",1.0165,2
hk,0004.HK,Aviva Investors Global Services Limited,0.6798,3
hk,0004.HK,Norges Bank Investment Management (NBIM),0.4356,4
hk,0004.HK,"Geode Capital Management, L.L.C.",0.2834,5
hk,0004.HK,"Dimensional Fund Advisors, L.P.",0.224,6
hk,0004.HK,Ng (Tin Hoi Stephen),0.137,7
hk,0004.HK,Foord Asset Management (Pty) Limited,0.1264,8
hk,0004.HK,"Charles Schwab Investment Management, Inc.",0.1184,9
hk,0004.HK,State Street Investment Management (US),0.1163,10
hk,0004.HK,Legal & General Investment Management Ltd.,0.1066,11
hk,0004.HK,JP Morgan Asset Management,0.1026,12
hk,0004.HK,CPP Investments,0.1016,13
hk,0004.HK,Third Avenue Management LLC,0.073,14
hk,0004.HK,Vanguard Global Advisers LLC,0.0609,15
hk,0004.HK,BlackRock Investment Management (UK) Ltd.,0.0606,16
hk,0004.HK,Nuveen LLC,0.0513,17
hk,0004.HK,"Cobas Asset Management, SGIIC, SA",0.045,18
hk,0004.HK,Handelsbanken Kapitalförvaltning AB,0.0431,19
hk,0004.HK,California Public Employees' Retirement System,0.0397,20
hk,0005.HK,"BlackRock Institutional Trust Company, N.A.",9.2317,1
hk,0005.HK,"Ping An Asset Management Co., Ltd.",8.7443,2
hk,0005.HK,Mellon Investments Corporation,6.0285,3
hk,0005.HK,"Vanguard Capital Management, LLC",3.092,4
hk,0005.HK,Norges Bank Investment Management (NBIM),2.2401,5
hk,0005.HK,BlackRock Investment Management (UK) Ltd.,2.0836,6
hk,0005.HK,BlackRock Advisors (UK) Limited,1.5743,7
hk,0005.HK,State Street Investment Management (UK),0.9824,8
hk,0005.HK,DWS Investment GmbH,0.7691,9
hk,0005.HK,Legal & General Investment Management Ltd.,0.7625,10
hk,0005.HK,Vanguard Global Advisers LLC,0.7475,11
hk,0005.HK,Hang Seng Investment Management Ltd.,0.6942,12
hk,0005.HK,"Geode Capital Management, L.L.C.",0.6174,13
hk,0005.HK,Aviva Investors Global Services Limited,0.462,14
hk,0005.HK,State Street Investment Management (US),0.448,15
hk,0005.HK,GIC Private Limited,0.416,16
hk,0005.HK,Vanguard Asset Management Ltd,0.3566,17
hk,0005.HK,M&G Investment Management Ltd.,0.3459,18
hk,0005.HK,UBS Asset Management (UK) Ltd.,0.329,19
hk,0005.HK,"Charles Schwab Investment Management, Inc.",0.2944,20
hk,0006.HK,CK Infrastructure Holdings Ltd,36.0142,1
hk,0006.HK,"Lazard Asset Management, L.L.C.",2.8373,2
hk,0006.HK,"BlackRock Institutional Trust Company, N.A.",2.8195,3
hk,0006.HK,"Vanguard Capital Management, LLC",1.9221,4
hk,0006.HK,Norges Bank Investment Management (NBIM),1.0359,5
hk,0006.HK,"Geode Capital Management, L.L.C.",0.998,6
hk,0006.HK,Hang Seng Investment Management Ltd.,0.7813,7
hk,0006.HK,BlackRock Asset Management Ireland Limited,0.7294,8
hk,0006.HK,BlackRock Advisors (UK) Limited,0.6455,9
hk,0006.HK,Lazard Asset Management Pacific Company,0.554,10
hk,0006.HK,"ICBC UBS Asset Management Co., Ltd.",0.4948,11
hk,0006.HK,BlackRock Asset Management Deutschland AG,0.477,12
hk,0006.HK,"Cohen & Steers Capital Management, Inc.",0.4246,13
hk,0006.HK,JPMorgan Asset Management (China) Company Limited.,0.4193,14
hk,0006.HK,JP Morgan Asset Management,0.2374,15
hk,0006.HK,Legal & General Investment Management Ltd.,0.2356,16
hk,0006.HK,California Public Employees' Retirement System,0.2203,17
hk,0006.HK,"Charles Schwab Investment Management, Inc.",0.1893,18
hk,0006.HK,Vanguard Asset Management Ltd,0.1737,19
hk,0006.HK,BlackRock Investment Management (Australia) Ltd.,0.1621,20
hk,0007.HK,Xu (Jun Jia),24.1006,1
hk,0007.HK,He (Yaokun),12.6278,2
hk,0008.HK,Li (Tzar Kai Richard),31.8045,1
hk,0008.HK,"China United Network Communications Group Co., Ltd.",18.3916,2
hk,0008.HK,"BlackRock Institutional Trust Company, N.A.",2.0437,3
hk,0008.HK,"Vanguard Capital Management, LLC",1.5154,4
hk,0008.HK,JPMorgan Asset Management (China) Company Limited.,1.3021,5
hk,0008.HK,"Dimensional Fund Advisors, L.P.",0.6231,6
hk,0008.HK,Hang Seng Investment Management Ltd.,0.6024,7
hk,0008.HK,"Bosera Asset Management Co., Ltd.",0.3781,8
hk,0008.HK,"Geode Capital Management, L.L.C.",0.3497,9
hk,0008.HK,BlackRock Advisors (UK) Limited,0.3001,10
hk,0008.HK,Mirae Asset Global Investments (Hong Kong) Limited,0.2885,11
hk,0008.HK,First Trust Advisors L.P.,0.2768,12
hk,0008.HK,BlackRock Asset Management Deutschland AG,0.2578,13
hk,0008.HK,"Charles Schwab Investment Management, Inc.",0.1696,14
hk,0008.HK,California Public Employees' Retirement System,0.1624,15
hk,0008.HK,Janus Henderson Investors,0.1591,16
hk,0008.HK,Legal & General Investment Management Ltd.,0.1345,17
hk,0008.HK,Hui (Hon Hing Susanna),0.1339,18
hk,0008.HK,Value Partners Ltd.,0.1271,19
hk,0008.HK,Vanguard Global Advisers LLC,0.12,20
hk,0010.HK,Chan Tan (Ching Fen),38.3678,1
hk,0010.HK,"Silchester International Investors, L.L.P.",8.1037,2
hk,0010.HK,Dodge & Cox,6.8434,3
hk,0010.HK,Chan (Adriel Wenbwo),2.154,4
hk,0010.HK,"Vanguard Capital Management, LLC",2.0226,5
hk,0010.HK,Norges Bank Investment Management (NBIM),1.1226,6
hk,0010.HK,"American Century Investment Management, Inc.",1.0411,7
hk,0010.HK,"Dimensional Fund Advisors, L.P.",0.9682,8
hk,0010.HK,"Tweedy, Browne Company LLC",0.6149,9
hk,0010.HK,DFA Australia Ltd.,0.3406,10
hk,0010.HK,"BlackRock Institutional Trust Company, N.A.",0.3071,11
hk,0010.HK,Third Avenue Management LLC,0.2062,12
hk,0010.HK,"Charles Schwab Investment Management, Inc.",0.2039,13
hk,0010.HK,Mellon Investments Corporation,0.1874,14
hk,0010.HK,Legal & General Investment Management Ltd.,0.1743,15
hk,0010.HK,State Street Investment Management (US),0.1485,16
hk,0010.HK,"Dimensional Fund Advisors, Ltd.",0.1412,17
hk,0010.HK,California Public Employees' Retirement System,0.1212,18
hk,0010.HK,Vanguard Global Advisers LLC,0.1211,19
hk,0010.HK,Allianz Global Investors GmbH,0.1038,20
hk,0011.HK,HSBC Holdings PLC,100.0,1
hk,0011.HK,Norges Bank Investment Management (NBIM),0.4402,2
hk,0011.HK,JPMorgan Asset Management (China) Company Limited.,0.2102,3
hk,0011.HK,Hang Seng Investment Management Ltd.,0.1411,4
hk,0011.HK,California Public Employees' Retirement System,0.135,5
hk,0011.HK,"Penghua Fund Management Co., Ltd.",0.1111,6
hk,0011.HK,E Fund Management Co. Ltd.,0.0776,7
