symbol,currency,total_investors,investor_outstanding_ratio,total_sharehold,total_holdings_value
0001.HK,HKD,435,56.2090000000001,2152842996.0,16130174121.34
0002.HK,HKD,322,42.2922000000001,1068503742.0,9862510909.58999
0003.HK,HKD,298,54.8270000000001,10230703532.0,8544783504.79999
0004.HK,HKD,230,72.9156000000001,2228298733.0,6190372194.39
0005.HK,USD,899,52.6140000000002,9040990288.0,168405532210.56
0006.HK,HKD,322,55.8745,1190760507.0,8566712011.59999
0007.HK,HKD,2,36.7284,1232291500.0,5077492.0
0008.HK,HKD,151,60.8368,4713528651.0,3266946515.91
0010.HK,HKD,97,64.6207000000001,879889330.0,1702888948.9
0011.HK,HKD,326,101.4786,1900626212.0,37577899727.01
0012.HK,HKD,332,82.3843000000002,3988512157.0,12690080288.72
0013.HK,USD,185,58.1769,507497423.0,1327836111.68
0014.HK,HKD,163,55.1999,566904103.0,1346841096.89
0016.HK,HKD,498,71.3989000000001,2068979692.0,32648629929.55
0017.HK,HKD,149,52.2469,1314855375.0,1210348376.56
0018.HK,HKD,8,74.8324,1794417284.0,88813772.66
0019.HK,HKD,337,74.7669000000001,582422615.0,6055402117.34
0020.HK,CNY,184,44.4241,18527815592.0,4486270417.16
0021.HK,HKD,3,63.332,2517597615.0,39095893.48
0022.HK,HKD,2,15.6042,6136800.0,2546585.13
0023.HK,HKD,125,69.8593000000001,1847177738.0,3166046915.72
0025.HK,HKD,8,68.5345,206472527.0,106243138.55
0026.HK,HKD,19,51.4647,23271796.0,161321460.34
0027.HK,HKD,427,74.4330000000001,3259608035.0,15063819456.79
0028.HK,HKD,12,94.6815,1388096105.0,701403575.4
0029.HK,HKD,12,41.2926,98154507.0,163810316.0
0030.HK,HKD,2,74.2888,7003920856.0,259313600.05
0031.HK,HKD,4,39.3852,1215041736.0,57648569.26
0032.HK,HKD,5,73.6212,274377498.0,287448930.66
0033.HK,HKD,1,1.4497,8092998.0,742316.09
0034.HK,HKD,11,74.6464,975035951.0,537912659.9
0035.HK,HKD,20,65.0038,1988492989.0,177814527.36
0037.HK,HKD,8,42.9729,323383427.0,18109657.59
0038.HK,CNY,95,39.3484,154222738.0,154437277.63
0039.HK,HKD,9,29.6622,2384124165.0,24143343.72
0040.HK,HKD,9,58.119,524516396.0,38676368.35
0041.HK,HKD,49,78.3357,587312725.0,1106362371.89
0045.HK,HKD,15,78.9739,1316446247.0,991895343.2
0046.HK,HKD,9,73.9377,180654938.0,31259090.71
0048.HK,CNY,3,3.825,16744800.0,366468.31
0050.HK,HKD,12,36.4189,129751349.0,78741101.96
0051.HK,HKD,6,80.0045,567031920.0,311982476.43
0052.HK,HKD,17,53.2278,68958087.0,41491061.44
0053.HK,USD,12,82.8357,272572260.0,2454883133.99
0055.HK,HKD,6,28.2962,71690800.0,1413112.48
0057.HK,HKD,14,76.29,481055718.0,92966670.31
0058.HK,HKD,1,74.6424,384796566.0,10138850.03
0060.HK,HKD,4,35.7324,91351250.0,5820735.1
0061.HK,HKD,2,17.919,23575154.0,721740.04
0062.HK,HKD,22,65.8794,353374433.0,466462610.89
0063.HK,HKD,1,60.0122,3812395735.0,34362270.29
0064.HK,HKD,4,51.9524,321168420.0,121185599.99
0065.HK,HKD,5,18.9473,46522632.0,1981438.54
0066.HK,HKD,333,81.1214000000001,5049714406.0,19381288546.72
0068.HK,CNY,22,90.658,1564937780.0,4538608483.38
0069.HK,USD,84,76.336,2741316197.0,1641676488.05
0070.HK,HKD,3,76.4641,1482502606.0,8876469.53
0071.HK,HKD,13,65.8962,455315876.0,581094212.15
0072.HK,CNY,2,74.821,327980000.0,12851441.0
0073.HK,CNY,5,45.1459,6726961.0,1242607.16
0075.HK,HKD,4,27.0785,216508150.0,6272527.98
0076.HK,USD,1,4.2754,19000000.0,757283.55
0077.HK,HKD,9,76.8865,209064700.0,12495191.05
0078.HK,HKD,12,74.9425,673570330.0,208182784.2
0079.HK,HKD,4,54.5996,178036848.0,2865535.12
0080.HK,HKD,6,62.5555,1362662623.0,62685743.52
0081.HK,CNY,83,78.0971,2779773532.0,738260031.11
0082.HK,HKD,6,24.3139,1100479513.0,11174589.22
0083.HK,HKD,324,72.3140000000001,6932151203.0,10741721281.77
0084.HK,HKD,1,52.8957,548485814.0,5218436.09
0085.HK,HKD,12,60.1882,1221745095.0,196484479.66
0086.HK,HKD,31,77.0486,1511109383.0,789909446.33
0087.HK,HKD,88,79.7733,2272690436.0,3618004983.33
0088.HK,HKD,14,51.2569,316528611.0,135075105.93
0089.HK,HKD,8,60.6889,174583180.0,49343073.53
0090.HK,CNY,2,73.075,335122000.0,54702895.7
0092.HK,HKD,2,10.1209,111087750.0,2527593.91
0093.HK,HKD,5,83.3883,2224503280.0,177586757.18
0094.HK,HKD,3,68.3924,1903008890.0,11715329.97
0095.HK,CNY,16,87.8137,5588261056.0,255824413.19
0096.HK,CNY,6,82.3732,524345728.0,36154321.14
0097.HK,HKD,1,69.2695,2110868943.0,41730078.43
0098.HK,CNY,9,74.5047,313403000.0,282368442.27
0099.HK,HKD,10,78.6588,376369650.0,61435864.27
0100.HK,USD,123,80.4791,215790409.0,9933253607.69
0101.HK,HKD,229,79.4169000000002,4132129560.0,3704020746.71
0103.HK,HKD,10,72.2725,374605378.0,148444086.08
0104.HK,HKD,6,68.7972,513999515.0,15199656.47
0105.HK,HKD,10,62.2758,224192679.0,142706764.52
0106.HK,CNY,11,59.4588,2807832419.0,4871940.96
0107.HK,CNY,69,52.8554,473226361.0,317980668.84
0108.HK,HKD,8,59.0894,1962580228.0,536125572.08
0110.HK,HKD,4,47.5112,132345481.0,3211732.74
0111.HK,HKD,2,63.1173,404711958.0,28089464.05
0113.HK,HKD,9,62.3498,240707068.0,163738698.42
0114.HK,HKD,6,48.1049,290789286.0,18706586.79
