symbol,investor_name,investor_type,investor_outstanding_ratio,sharehold,sharehold_change,info_date,turnover_rating,rank,currency
0001.HK,Li (Ka Shing),Individual Investor,30.3634,1162932010.0,0.0,20251231,LOW,1,HKD
0001.HK,"BlackRock Institutional Trust Company, N.A.",Investment Advisor,2.8171,107894996.0,-1035500.0,20260708,LOW,2,HKD
0001.HK,"Vanguard Capital Management, LLC",Investment Advisor,2.0805,79685074.0,277124.0,20260630,LOW,3,HKD
0001.HK,Aviva Investors Global Services Limited,Investment Advisor/Hedge Fund,1.5256,58431323.0,3500.0,20260630,LOW,4,HKD
0001.HK,Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,1.2165,46592212.0,-2628134.0,20251231,LOW,5,HKD
0001.HK,Capital Research Global Investors,Investment Advisor,1.1378,43577000.0,43248000.0,20260630,LOW,6,HKD
0001.HK,Hang Seng Investment Management Ltd.,Investment Advisor,0.8415,32228364.0,-4500036.0,20260630,LOW,7,HKD
0001.HK,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,0.8358,32011432.0,3500.0,20260630,LOW,8,HKD
0001.HK,"Wellington Management Company, LLP",Investment Advisor/Hedge Fund,0.7426,28442431.0,1160477.0,20260531,LOW,9,HKD
0001.HK,BlackRock Asset Management Ireland Limited,Investment Advisor,0.7126,27293328.0,-5805141.0,20260708,LOW,10,HKD
0001.HK,"Thornburg Investment Management, Inc.",Investment Advisor,0.6447,24691000.0,0.0,20260531,LOW,11,HKD
0001.HK,Baillie Gifford & Co.,Investment Advisor,0.5991,22944500.0,77500.0,20260331,LOW,12,HKD
0001.HK,BlackRock Advisors (UK) Limited,Investment Advisor/Hedge Fund,0.4986,19098244.0,106000.0,20260630,LOW,13,HKD
0001.HK,"Cobas Asset Management, SGIIC, SA",Investment Advisor,0.4623,17708127.0,-115000.0,20260531,MED,14,HKD
0001.HK,"Dacheng Fund Management Co., Ltd.",Investment Advisor,0.4602,17625503.0,-10285500.0,20251231,MED,15,HKD
0001.HK,"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,0.4294,16444769.0,134000.0,20260630,LOW,16,HKD
0001.HK,"Charles Schwab Investment Management, Inc.",Investment Advisor,0.397,15206659.0,-723727.0,20260630,LOW,17,HKD
0001.HK,Hermes Investment Management Ltd.,Investment Advisor/Hedge Fund,0.3583,13722500.0,-1783500.0,20260430,LOW,18,HKD
0001.HK,"Kopernik Global Investors, LLC",Investment Advisor/Hedge Fund,0.3459,13246500.0,0.0,20260531,MED,19,HKD
0001.HK,DJE Kapital AG,Investment Advisor/Hedge Fund,0.3222,12339353.0,0.0,20260630,MED,20,HKD
0002.HK,Harneys Trustees Ltd,Corporation,16.2491,410526125.0,0.0,20260608,,1,HKD
0002.HK,"Bermuda Trust Co., Ltd.",Corporation,12.0957,305591730.0,0.0,20251231,LOW,2,HKD
0002.HK,"Vanguard Capital Management, LLC",Investment Advisor,1.8845,47611265.0,228871.0,20260630,LOW,3,HKD
0002.HK,"BlackRock Institutional Trust Company, N.A.",Investment Advisor,1.8,45475903.0,864000.0,20260630,LOW,4,HKD
0002.HK,Aviva Investors Global Services Limited,Investment Advisor/Hedge Fund,1.0973,27721968.0,0.0,20260630,LOW,5,HKD
0002.HK,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,0.9544,24112354.0,13500.0,20260531,LOW,6,HKD
0002.HK,Hang Seng Investment Management Ltd.,Investment Advisor,0.8339,21068465.0,-6615586.0,20260630,LOW,7,HKD
0002.HK,MFS Investment Management,Investment Advisor/Hedge Fund,0.4834,12212861.0,18291.0,20260630,LOW,8,HKD
0002.HK,BlackRock Advisors (UK) Limited,Investment Advisor/Hedge Fund,0.4542,11476156.0,114000.0,20260630,LOW,9,HKD
0002.HK,"ICBC UBS Asset Management Co., Ltd.",Investment Advisor,0.4012,10136000.0,10101000.0,20251231,LOW,10,HKD
0002.HK,"Charles Schwab Investment Management, Inc.",Investment Advisor,0.274,6922226.0,-9112.0,20260630,LOW,11,HKD
0002.HK,First Sentier Investors,Investment Advisor,0.2733,6904500.0,303500.0,20260531,MED,12,HKD
0002.HK,BlackRock Asset Management Deutschland AG,Investment Advisor,0.2526,6381499.0,192500.0,20260630,LOW,13,HKD
0002.HK,JP Morgan Asset Management,Investment Advisor,0.2458,6210000.0,96500.0,20260630,LOW,14,HKD
0002.HK,JPMorgan Asset Management (China) Company Limited.,Investment Advisor,0.2287,5778500.0,2803500.0,20251231,MED,15,HKD
0002.HK,California Public Employees' Retirement System,Pension Fund,0.2155,5444972.0,-2094782.0,20250630,LOW,16,HKD
0002.HK,State Street Investment Management (US),Investment Advisor/Hedge Fund,0.2012,5082558.0,-48500.0,20260630,LOW,17,HKD
0002.HK,Vanguard Asset Management Ltd,Investment Advisor,0.1724,4355812.0,72142.0,20260630,LOW,18,HKD
0002.HK,Legal & General Investment Management Ltd.,Investment Advisor/Hedge Fund,0.1641,4145153.0,-113406.0,20260531,LOW,19,HKD
0002.HK,APG Asset Management N.V.,Pension Fund,0.1511,3817463.0,-121283.0,20260331,LOW,20,HKD
0003.HK,Henderson Land Development Co Ltd,Corporation,41.526,7748692715.0,0.0,20260629,,1,HKD
0003.HK,"Vanguard Capital Management, LLC",Investment Advisor,1.7319,323167319.0,2133665.0,20260630,LOW,2,HKD
0003.HK,"BlackRock Institutional Trust Company, N.A.",Investment Advisor,1.5451,288304462.0,12676000.0,20260630,LOW,3,HKD
0003.HK,Aviva Investors Global Services Limited,Investment Advisor/Hedge Fund,1.4264,266156682.0,-22821.0,20260630,LOW,4,HKD
0003.HK,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,0.8459,157848503.0,932000.0,20260531,LOW,5,HKD
0003.HK,Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,0.7887,147169222.0,41670614.0,20251231,LOW,6,HKD
0003.HK,Hang Seng Investment Management Ltd.,Investment Advisor,0.722,134730232.0,-18791542.0,20260630,LOW,7,HKD
0003.HK,BlackRock Advisors (UK) Limited,Investment Advisor/Hedge Fund,0.4322,80649415.0,657000.0,20260630,LOW,8,HKD
0003.HK,JPMorgan Asset Management (China) Company Limited.,Investment Advisor,0.3362,62737000.0,24402000.0,20251231,MED,9,HKD
0003.HK,Li (Kwok Po David),Individual Investor,0.3269,61000000.0,0.0,20251231,LOW,10,HKD
0003.HK,"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,0.2722,50801045.0,1969000.0,20260630,LOW,11,HKD
0003.HK,RREEF America L.L.C.,Investment Advisor/Hedge Fund,0.2646,49379800.0,-188000.0,20260531,MED,12,HKD
0003.HK,Legal & General Investment Management Ltd.,Investment Advisor/Hedge Fund,0.2379,44399397.0,3242632.0,20260630,LOW,13,HKD
0003.HK,"Charles Schwab Investment Management, Inc.",Investment Advisor,0.2263,42234416.0,789258.0,20260630,LOW,14,HKD
0003.HK,JP Morgan Asset Management,Investment Advisor,0.2045,38165866.0,528000.0,20260630,LOW,15,HKD
0003.HK,BlackRock Investment Management (UK) Ltd.,Investment Advisor/Hedge Fund,0.2019,37678743.0,142000.0,20260630,LOW,16,HKD
0003.HK,California Public Employees' Retirement System,Pension Fund,0.1973,36824940.0,-15603587.0,20250630,LOW,17,HKD
0003.HK,Vanguard Asset Management Ltd,Investment Advisor,0.1579,29473242.0,315000.0,20260630,LOW,18,HKD
0003.HK,Nuveen LLC,Investment Advisor,0.1361,25390536.0,18000.0,20260630,LOW,19,HKD
0003.HK,State Street Investment Management (US),Investment Advisor/Hedge Fund,0.1303,24308523.0,-78000.0,20260630,LOW,20,HKD
0004.HK,Wheelock And Co Ltd,Holding Company,68.4193,2090911651.0,0.0,20251231,LOW,1,HKD
0004.HK,"Vanguard Capital Management, LLC",Investment Advisor,1.0165,31064938.0,98550.0,20260630,LOW,2,HKD
0004.HK,Aviva Investors Global Services Limited,Investment Advisor/Hedge Fund,0.6798,20773529.0,0.0,20260630,LOW,3,HKD
0004.HK,Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,0.4356,13311242.0,11073784.0,20251231,LOW,4,HKD
0004.HK,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,0.2834,8660346.0,-24000.0,20260531,LOW,5,HKD
0004.HK,"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,0.224,6844000.0,0.0,20260531,LOW,6,HKD
0004.HK,Ng (Tin Hoi Stephen),Individual Investor,0.137,4185445.0,0.0,20251231,LOW,7,HKD
0004.HK,Foord Asset Management (Pty) Limited,Investment Advisor/Hedge Fund,0.1264,3862000.0,-500000.0,20250630,LOW,8,HKD
0004.HK,"Charles Schwab Investment Management, Inc.",Investment Advisor,0.1184,3618062.0,51255.0,20260630,LOW,9,HKD
0004.HK,State Street Investment Management (US),Investment Advisor/Hedge Fund,0.1163,3553980.0,1420000.0,20260630,LOW,10,HKD
0004.HK,Legal & General Investment Management Ltd.,Investment Advisor/Hedge Fund,0.1066,3256953.0,-19832.0,20260630,LOW,11,HKD
0004.HK,JP Morgan Asset Management,Investment Advisor,0.1026,3135000.0,55000.0,20260630,LOW,12,HKD
0004.HK,CPP Investments,Pension Fund,0.1016,3104000.0,-678000.0,20250331,LOW,13,HKD
0004.HK,Third Avenue Management LLC,Investment Advisor/Hedge Fund,0.073,2231633.0,-152596.0,20260331,LOW,14,HKD
0004.HK,Vanguard Global Advisers LLC,Investment Advisor,0.0609,1862346.0,-293000.0,20260630,LOW,15,HKD
0004.HK,BlackRock Investment Management (UK) Ltd.,Investment Advisor/Hedge Fund,0.0606,1851558.0,0.0,20260630,LOW,16,HKD
0004.HK,Nuveen LLC,Investment Advisor,0.0513,1569042.0,1569042.0,20260630,LOW,17,HKD
0004.HK,"Cobas Asset Management, SGIIC, SA",Investment Advisor,0.045,1375000.0,1197000.0,20260531,MED,18,HKD
0004.HK,Handelsbanken Kapitalförvaltning AB,Investment Advisor/Hedge Fund,0.0431,1317205.0,70000.0,20260630,HIGH,19,HKD
0004.HK,California Public Employees' Retirement System,Pension Fund,0.0397,1213203.0,-541000.0,20250630,LOW,20,HKD
0005.HK,"BlackRock Institutional Trust Company, N.A.",Investment Advisor,9.2317,1586341122.0,0.0,20260219,LOW,1,USD
0005.HK,"Ping An Asset Management Co., Ltd.",Investment Advisor,8.7443,1502584731.0,0.0,20260219,LOW,2,USD
0005.HK,Mellon Investments Corporation,Investment Advisor/Hedge Fund,6.0285,1035915129.0,0.0,20260219,LOW,3,USD
0005.HK,"Vanguard Capital Management, LLC",Investment Advisor,3.092,531318507.0,7734469.0,20260418,LOW,4,USD
0005.HK,Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,2.2401,384922546.0,-23281170.0,20260630,LOW,5,USD
0005.HK,BlackRock Investment Management (UK) Ltd.,Investment Advisor/Hedge Fund,2.0836,358044565.0,8407608.0,20260630,LOW,6,USD
0005.HK,BlackRock Advisors (UK) Limited,Investment Advisor/Hedge Fund,1.5743,270519528.0,3886706.0,20260630,LOW,7,USD
0005.HK,State Street Investment Management (UK),Investment Advisor/Hedge Fund,0.9824,168819320.0,6190139.0,20260421,LOW,8,USD
0005.HK,DWS Investment GmbH,Investment Advisor/Hedge Fund,0.7691,132150677.0,-532679.0,20260630,LOW,9,USD
0005.HK,Legal & General Investment Management Ltd.,Investment Advisor/Hedge Fund,0.7625,131017838.0,-906553.0,20260630,LOW,10,USD
0005.HK,Vanguard Global Advisers LLC,Investment Advisor,0.7475,128449129.0,1072370.0,20260414,LOW,11,USD
0005.HK,Hang Seng Investment Management Ltd.,Investment Advisor,0.6942,119286759.0,-43667868.0,20260630,LOW,12,USD
0005.HK,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,0.6174,106083825.0,2554062.0,20260421,LOW,13,USD
0005.HK,Aviva Investors Global Services Limited,Investment Advisor/Hedge Fund,0.462,79392315.0,5677983.0,20260630,LOW,14,USD
