symbol,currency,top_investors_num,investor_outstanding_ratio,sharehold,holdings_value
0001.HK,HKD,20,46.7911,1792115325.0,13221690952.83
0002.HK,HKD,20,38.4324,970975510.0,8949912235.18
0003.HK,HKD,20,51.7103,9649112058.0,8037148905.3
0004.HK,HKD,20,72.2411,2207701133.0,6134395174.9
0005.HK,USD,20,40.2195,6911150634.0,129721946519.23
0006.HK,HKD,20,51.3713,1094771553.0,7861383381.68
0007.HK,HKD,2,36.7284,1232291500.0,5077492.0
0008.HK,HKD,20,59.1404,4582062774.0,3174625824.28
0010.HK,HKD,20,63.2936,861819563.0,1671340687.12
0011.HK,HKD,20,101.3946,1899054210.0,37547819774.82
0012.HK,HKD,20,79.7138,3859235798.0,12241093285.52
0013.HK,USD,20,53.8552,469796305.0,1231784213.58
0014.HK,HKD,20,51.7042,531007898.0,1264967593.98
0016.HK,HKD,20,62.9916,1825356058.0,28970284638.28
0017.HK,HKD,20,51.1504,1287263558.0,1185141725.18
0018.HK,HKD,8,74.8324,1794417284.0,88813772.66
0019.HK,HKD,20,69.375,540423090.0,5621387813.2
0020.HK,CNY,20,39.644,16534188196.0,4032204771.29
0021.HK,HKD,3,63.332,2517597615.0,39095893.48
0022.HK,HKD,2,15.6042,6136800.0,2546585.13
0023.HK,HKD,20,68.4773,1810651253.0,3106273383.96
0025.HK,HKD,8,68.5345,206472527.0,106243138.55
0026.HK,HKD,19,51.4647,23271796.0,161321460.34
0027.HK,HKD,20,65.6675,2875736001.0,13484123134.32
0028.HK,HKD,12,94.6815,1388096105.0,701403575.4
0029.HK,HKD,12,41.2926,98154507.0,163810316.0
0030.HK,HKD,2,74.2888,7003920856.0,259313600.05
0031.HK,HKD,4,39.3852,1215041736.0,57648569.26
0032.HK,HKD,5,73.6212,274377498.0,287448930.66
0033.HK,HKD,1,1.4497,8092998.0,742316.09
0034.HK,HKD,11,74.6464,975035951.0,537912659.9
0035.HK,HKD,20,65.0038,1988492989.0,177814527.36
0037.HK,HKD,8,42.9729,323383427.0,18109657.59
