symbol,currency,total_investors,investor_outstanding_ratio,total_sharehold,total_holdings_value
A,USD,2146,95.2891000000005,269135045.0,31102388446.42
AA,USD,1331,85.7745000000003,226356379.0,13990476411.06
AACB,USD,63,97.4322,21605604.0,223095633.92
AACBR,USD,41,,20634901.0,6209381.1
AACG,CNY,21,10.8638,7437785.0,6622418.33
AACI,USD,13,21.0003,5359683.0,52979349.58
AACO,USD,4,7.8495,1859950.0,18413405.0
AACP,USD,4,23.442,4153921.0,41331513.95
AADX,USD,18,85.2509,145560298.0,3315863588.44
AAGR,USD,5,0.2192,126820.0,1268.2
AAL,USD,1180,78.3881000000003,518883719.0,6151064160.61001
AAMC,USD,1,,250000.0,925000000.0
AAME,USD,41,85.3324,17405455.0,30291201.81
AAMI,USD,493,100.4716,35797009.0,2023009141.86
AAOI,USD,633,80.9322000000003,64943219.0,5370934268.82999
AAON,USD,910,105.2644,86224538.0,8193047097.36
AAP,USD,811,128.4685,77467812.0,4113853877.7
AAPG,,25,0.0652,61071.0,1798412.63
AAPL,USD,8157,67.7177000000095,9948646019.0,2580557545091.91
AARD,USD,158,71.6933000000001,15689545.0,70359751.04
AAT,USD,509,121.363,74506115.0,1451999940.93
AAUA,,5,1.3899,90768.0,4442249.46
AAUC,USD,261,81.6139,103268913.0,2932393180.01
ABAT,USD,319,40.2898000000001,54960731.0,159234399.46
ABBV,USD,5756,77.4196000000056,1367764093.0,301803340200.979
ABCB,USD,688,102.0286,68658376.0,5363847508.69999
ABCL,USD,315,66.2116,202192752.0,791679504.45
ABEO,USD,247,90.2875000000001,51459557.0,256270738.01
ABEV,BRL,763,7.0146,1093923803.0,3156383625.67
ABG,USD,682,102.477,19079993.0,3809828085.58
ABLV,USD,9,26.9916,6617928.0,4470350.88
ABM,USD,649,102.6842,60153293.0,2342465373.62
ABNB,USD,2517,93.0245000000002,388791169.0,50567717365.4601
ABOS,USD,197,69.9894,50551526.0,125092125.51
ABP,USD,39,16.5444,975468.0,4127170.94
ABPWW,USD,46,,5462892.0,0.0
ABR,USD,635,64.4866,124048384.0,946245359.18
ABR_pd,USD,12,11.4396,1052439.0,16914014.98
ABR_pe,USD,7,14.8517,853969.0,14558001.93
ABR_pf,USD,20,23.1124,2621391.0,58141974.31
ABSI,USD,332,83.9624,141766713.0,526963437.08
ABT,USD,4806,82.2823000000032,1433295999.0,151254328659.728
ABTC,USD,228,25.4698,6142103.0,357394251.25
ABTS,USD,19,21.5492,638167.0,880167.98
ABUS,USD,324,85.7670000000001,169423015.0,772727668.05
ABVC,USD,41,21.9498,5705665.0,7246753.72
ABVE,CAD,46,21.1825,10843503.0,14458032.44
ABVEW,CAD,42,,2310501.0,0.0
ABVX,,393,72.0408000000001,57108544.0,6531697075.08
ABVc,USD,41,21.9498,5705665.0,7246753.72
ABX,USD,281,100.0952,96013760.0,848778483.87
AC,USD,57,7.9869,137973.0,5013870.9
ACA,USD,714,95.1568,46644980.0,5056641146.91
ACAA,USD,4,0.2521,72028.0,717297.32
ACAD,USD,683,101.6302,174028413.0,3997666415.77
ACB,CAD,313,12.0553,7427376.0,24783173.65
ACCL,USD,5,92.4127,11043221.0,44563416.66
ACCO,USD,465,85.4688000000001,78851905.0,249758952.29
