symbol,currency,investor_name,investor_type,investor_outstanding_ratio,sharehold,sharehold_change,info_date,turnover_rating,rank
A,USD,"Vanguard Capital Management, LLC",Investment Advisor,6.5081,18381030.0,25298.0,20260331,LOW,1
A,USD,"BlackRock Institutional Trust Company, N.A.",Investment Advisor,5.2358,14787598.0,89673.0,20260331,LOW,2
A,USD,"Vanguard Portfolio Management, LLC",Investment Advisor,5.0818,14352682.0,14352682.0,20260331,LOW,3
A,USD,State Street Investment Management (US),Investment Advisor/Hedge Fund,4.5195,12764632.0,82840.0,20260331,LOW,4
A,USD,MFS Investment Management,Investment Advisor/Hedge Fund,4.2118,11895532.0,-1270988.0,20260331,LOW,5
A,USD,"T. Rowe Price Investment Management, Inc.",Investment Advisor,3.184,8992649.0,848786.0,20260331,MED,6
A,USD,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,2.6633,7522028.0,96167.0,20260331,LOW,7
A,USD,"Wellington Management Company, LLP",Investment Advisor/Hedge Fund,2.5693,7256433.0,-333709.0,20260331,LOW,8
A,USD,DWS Investment GmbH,Investment Advisor/Hedge Fund,1.7099,4829350.0,300786.0,20260331,LOW,9
A,USD,State Farm Insurance Companies,Insurance Company,1.5993,4516936.0,0.0,20260331,LOW,10
A,USD,Norges Bank Investment Management (NBIM),Sovereign Wealth Fund,1.429,4035849.0,687928.0,20251231,LOW,11
A,USD,BlackRock Investment Management (UK) Ltd.,Investment Advisor/Hedge Fund,1.4123,3988871.0,-216283.0,20260331,LOW,12
A,USD,Pictet Asset Management Ltd.,Investment Advisor/Hedge Fund,1.2383,3497319.0,-1167562.0,20260331,LOW,13
A,USD,"AQR Capital Management, LLC",Investment Advisor/Hedge Fund,1.0592,2991479.0,1623527.0,20260331,MED,14
A,USD,Cantillon Capital Management LLC,Investment Advisor/Hedge Fund,0.9722,2745829.0,-369809.0,20260331,LOW,15
A,USD,BlackRock Asset Management Ireland Limited,Investment Advisor,0.9684,2735099.0,5625.0,20260331,LOW,16
A,USD,Troy Asset Management Limited,Investment Advisor,0.8544,2413232.0,7369.0,20260331,LOW,17
A,USD,Nordea Funds Oy,Investment Advisor,0.8368,2363299.0,589180.0,20260331,LOW,18
A,USD,"Goldman Sachs Asset Management, L.P.",Investment Advisor,0.8206,2317735.0,14629.0,20260331,LOW,19
A,USD,Qube Research & Technologies Ltd,Hedge Fund,0.8074,2280319.0,159477.0,20260331,HIGH,20
AA,USD,"BlackRock Institutional Trust Company, N.A.",Investment Advisor,8.5066,22448296.0,1318739.0,20260331,LOW,1
AA,USD,Eagle Capital Management L.L.C.,Investment Advisor,6.044,15949384.0,-444938.0,20251231,LOW,2
AA,USD,"Vanguard Portfolio Management, LLC",Investment Advisor,4.7917,12644935.0,12644935.0,20260331,LOW,3
AA,USD,Fidelity Management & Research Company LLC,Investment Advisor,4.7086,12425743.0,8249650.0,20260331,LOW,4
AA,USD,Allan Gray Australia Pty Ltd,Investment Advisor,4.582,12091626.0,-2303025.0,20251231,LOW,5
AA,USD,"Vanguard Capital Management, LLC",Investment Advisor,4.4627,11776650.0,263206.0,20260331,LOW,6
AA,USD,State Street Investment Management (US),Investment Advisor/Hedge Fund,4.1235,10881537.0,-133862.0,20260331,LOW,7
AA,USD,"Dimensional Fund Advisors, L.P.",Investment Advisor/Hedge Fund,3.2685,8625297.0,-2955506.0,20260331,LOW,8
AA,USD,"Geode Capital Management, L.L.C.",Investment Advisor/Hedge Fund,2.5221,6655655.0,349426.0,20251231,LOW,9
AA,USD,"AQR Capital Management, LLC",Investment Advisor/Hedge Fund,1.5667,4134425.0,2503132.0,20251231,MED,10
AA,USD,Castle Hook Partners LP,Hedge Fund,1.5038,3968265.0,3968265.0,20251231,HIGH,11
AA,USD,Invesco Capital Management LLC,Investment Advisor,1.2684,3347118.0,1222469.0,20260331,LOW,12
AA,USD,"Maple Rock Capital Partners, Inc.",Hedge Fund,1.2366,3263300.0,3263300.0,20251231,HIGH,13
AA,USD,BlackRock Investment Management (UK) Ltd.,Investment Advisor/Hedge Fund,0.8434,2225620.0,1524795.0,20260331,LOW,14
AA,USD,"Charles Schwab Investment Management, Inc.",Investment Advisor,0.7975,2104648.0,36788.0,20260331,LOW,15
AA,USD,AGF Investments Inc.,Investment Advisor,0.7864,2075213.0,1832876.0,20260331,MED,16
AA,USD,Citadel Advisors LLC,Hedge Fund,0.7528,1986438.0,-674512.0,20251231,HIGH,17
AA,USD,Mirae Asset Global Investments (USA) LLC,Investment Advisor,0.711,1876254.0,44591.0,20251231,LOW,18
AA,USD,"Northern Trust Investments, Inc.",Investment Advisor/Hedge Fund,0.701,1849884.0,83501.0,20260331,LOW,19
AA,USD,Vanguard Fiduciary Trust Co,Investment Advisor,0.611,1612389.0,1612389.0,20260331,LOW,20
AACB,USD,HGC Investment Management Inc.,Investment Advisor/Hedge Fund,6.7644,1500000.0,0.0,20260331,HIGH,1
AACB,USD,"AQR Capital Management, LLC",Investment Advisor/Hedge Fund,6.7202,1490205.0,0.0,20251231,MED,2
AACB,USD,"Glazer Capital, LLC",Hedge Fund,5.84,1295029.0,139868.0,20260331,HIGH,3
AACB,USD,Linden Advisors L.P.,Hedge Fund,4.5096,1000000.0,0.0,20260331,HIGH,4
AACB,USD,"Westchester Capital Management, LLC",Investment Advisor/Hedge Fund,4.4913,995939.0,0.0,20251231,HIGH,5
AACB,USD,Alberta Investment Management Corporation,Sovereign Wealth Fund,4.4194,980000.0,0.0,20260331,MED,6
AACB,USD,Healthcare Of Ontario Pension Plan,Pension Fund,3.8331,850000.0,0.0,20260331,MED,7
AACB,USD,Polar Asset Management Partners Inc.,Hedge Fund,3.6633,812332.0,-187668.0,20251231,HIGH,8
AACB,USD,PICTON Investments,Investment Advisor/Hedge Fund,3.3822,750000.0,0.0,20260331,MED,9
AACB,USD,"Two Sigma Investments, LP",Hedge Fund,3.2694,725000.0,0.0,20251231,HIGH,10
AACB,USD,"Radcliffe Capital Management, L.P.",Hedge Fund,3.0605,678671.0,11552.0,20260331,HIGH,11
AACB,USD,Magnetar Capital Partners LP,Investment Advisor/Hedge Fund,2.7057,600000.0,0.0,20260331,MED,12
AACB,USD,"D. E. Shaw & Co., L.P.",Hedge Fund,2.7057,600000.0,0.0,20251231,HIGH,13
AACB,USD,Hudson Bay Capital Management LP,Hedge Fund,2.4803,550000.0,0.0,20260331,HIGH,14
AACB,USD,"Sculptor Capital Management, Inc",Hedge Fund,2.2548,500000.0,-500000.0,20251231,MED,15
AACB,USD,"Moore Capital Management, LP",Hedge Fund,2.2548,500000.0,0.0,20251231,HIGH,16
AACB,USD,Jain Global LLC,Hedge Fund,2.2548,500000.0,0.0,20251231,HIGH,17
AACB,USD,"HBK Investments, L.P.",Hedge Fund,2.2548,499998.0,0.0,20251231,HIGH,18
AACB,USD,"Shaolin Capital Management, LLC",Investment Advisor,2.2097,490000.0,118244.0,20251231,HIGH,19
AACB,USD,"Goldman Sachs & Company, Inc.",Research Firm,2.0871,462806.0,11.0,20251231,MED,20
AACBR,USD,Healthcare Of Ontario Pension Plan,Pension Fund,,2000000.0,0.0,20260331,MED,1
AACBR,USD,"Sculptor Capital Management, Inc",Hedge Fund,,1980000.0,0.0,20260331,MED,2
AACBR,USD,HGC Investment Management Inc.,Investment Advisor/Hedge Fund,,1500000.0,0.0,20260331,HIGH,3
AACBR,USD,Polar Asset Management Partners Inc.,Hedge Fund,,1500000.0,0.0,20260331,HIGH,4
