symbol,currency,top_investors_num,investor_outstanding_ratio,sharehold,holdings_value
A,USD,20,47.6814,134667901.0,15438599260.39
AA,USD,20,53.7883,141942677.0,8756542438.48
AACB,USD,20,71.1611,15779980.0,162861942.0
AACBR,USD,20,,18075309.0,5457080.39
AACG,CNY,20,10.8638,7437785.0,6622418.33
AACI,USD,13,21.0003,5359683.0,52979349.58
AACO,USD,4,7.8495,1859950.0,18413405.0
AACP,USD,4,23.442,4153921.0,41331513.95
AADX,USD,18,85.2509,145560298.0,3315863588.44
AAGR,USD,5,0.2192,126820.0,1268.2
AAL,USD,20,50.7587,335990791.0,3969064662.45
AAMC,USD,1,,250000.0,925000000.0
AAME,USD,20,85.0406,17345886.0,30163164.78
AAMI,USD,20,68.0949,24261479.0,1388706443.94
AAOI,USD,20,50.1935,40276698.0,3348352000.23
AAON,USD,20,66.6227,54571870.0,5467056016.68
AAP,USD,20,84.8881,51187515.0,2729150895.66
AAPG,,20,0.0652,61071.0,1798412.63
AAPL,USD,20,34.4831,5064667688.0,1311898991802.35
AARD,USD,20,67.9341,14866755.0,67077830.39
AAT,USD,20,91.092,55922315.0,1098977058.91
AAUA,,5,1.3899,90768.0,4442249.46
AAUC,USD,20,55.3403,70031941.0,1978653463.34
ABAT,USD,20,34.0793,46489053.0,133678565.58
ABBV,USD,20,37.0097,653886900.0,143584707764.0
ABCB,USD,20,65.2454,43905158.0,3430590649.4
ABCL,USD,20,57.1707,174585166.0,673931511.55
ABEO,USD,20,65.0852,37095398.0,183654679.44
ABEV,BRL,20,5.4162,844737024.0,2441671294.0
ABG,USD,20,74.3585,13844655.0,2750604893.17
ABLV,USD,9,26.9916,6617928.0,4470350.88
ABM,USD,20,68.738,40267438.0,1554037274.88
ABNB,USD,20,44.9535,187874297.0,24516069536.82
ABOS,USD,20,62.7573,45327996.0,112492393.39
ABP,USD,20,16.5444,975468.0,4127170.94
ABPWW,USD,20,,5446405.0,0.0
ABR,USD,20,46.0046,88494549.0,675686091.16
ABR_pd,USD,12,11.4396,1052439.0,16914014.98
ABR_pe,USD,7,14.8517,853969.0,14558001.93
ABR_pf,USD,20,23.1124,2621391.0,58141974.31
ABSI,USD,20,66.7968,112783198.0,424952036.5
ABT,USD,20,40.0142,696974265.0,73529515910.37
ABTC,USD,20,22.0448,5291788.0,345374408.49
ABTS,USD,19,21.5492,638167.0,880167.98
ABUS,USD,20,72.8991,144003520.0,657168281.64
ABVC,USD,20,21.6087,5617112.0,7154663.01
ABVE,CAD,20,21.0098,10755150.0,14340510.27
ABVEW,CAD,20,,2308922.0,0.0
ABVX,,20,44.9816,35666286.0,4092418554.48
ABVc,USD,20,21.6087,5617112.0,7154663.01
ABX,USD,20,89.756,86095867.0,767390234.89
AC,USD,20,7.9869,137973.0,5013870.9
ACA,USD,20,65.6207,32166142.0,3476066145.78
ACAA,USD,4,0.2521,72028.0,717297.32
ACAD,USD,20,71.147,121829106.0,2768375897.41
ACB,CAD,20,10.0039,6157481.0,20510287.25
ACCL,USD,5,92.4127,11043221.0,44563416.66
ACCO,USD,20,61.2228,56482937.0,176927795.32
ACCS,USD,20,63.3454,2459164.0,18651382.48
ACDC,USD,20,93.5858,169315694.0,983684072.43
ACEL,USD,20,74.5274,60659913.0,682676833.13
