market,symbol,holder_name,holding_pct,rank
hk,0005.HK,HK Holder 1,17.46,1
hk,0005.HK,HK Holder 2,12.61,2
hk,0005.HK,HK Holder 3,8.73,3
hk,0005.HK,HK Holder 4,6.79,4
hk,0005.HK,HK Holder 5,4.85,5
hk,0700.HK,HK Holder 1,18.0,1
hk,0700.HK,HK Holder 2,13.0,2
hk,0700.HK,HK Holder 3,9.0,3
hk,0700.HK,HK Holder 4,7.0,4
hk,0700.HK,HK Holder 5,5.0,5
hk,1299.HK,HK Holder 1,16.919999999999998,1
hk,1299.HK,HK Holder 2,12.219999999999999,2
hk,1299.HK,HK Holder 3,8.459999999999999,3
hk,1299.HK,HK Holder 4,6.58,4
hk,1299.HK,HK Holder 5,4.699999999999999,5
us,AAPL,US Holder 1,18.0,1
us,AAPL,US Holder 2,13.0,2
us,AAPL,US Holder 3,9.0,3
us,AAPL,US Holder 4,7.0,4
us,AAPL,US Holder 5,5.0,5
us,JPM,US Holder 1,16.919999999999998,1
us,JPM,US Holder 2,12.219999999999999,2
us,JPM,US Holder 3,8.459999999999999,3
us,JPM,US Holder 4,6.58,4
us,JPM,US Holder 5,4.699999999999999,5
us,MSFT,US Holder 1,17.46,1
us,MSFT,US Holder 2,12.61,2
us,MSFT,US Holder 3,8.73,3
us,MSFT,US Holder 4,6.79,4
us,MSFT,US Holder 5,4.85,5
