symbol,investor_name,holding_pct,holdings_value,rank
0700.HK,HK Holder 1,18.0,180000000.0,1
0700.HK,HK Holder 2,13.0,130000000.0,2
0700.HK,HK Holder 3,9.0,90000000.0,3
0700.HK,HK Holder 4,7.0,70000000.0,4
0700.HK,HK Holder 5,5.0,50000000.0,5
0005.HK,HK Holder 1,17.46,174600000.0,1
0005.HK,HK Holder 2,12.61,126100000.0,2
0005.HK,HK Holder 3,8.73,87300000.0,3
0005.HK,HK Holder 4,6.79,67900000.0,4
0005.HK,HK Holder 5,4.85,48500000.0,5
1299.HK,HK Holder 1,16.919999999999998,169199999.99999997,1
1299.HK,HK Holder 2,12.219999999999999,122199999.99999999,2
1299.HK,HK Holder 3,8.459999999999999,84599999.99999999,3
1299.HK,HK Holder 4,6.58,65800000.0,4
1299.HK,HK Holder 5,4.699999999999999,46999999.99999999,5
