market,symbol,holding_date,currency,investor_name,investor_category,investor_type,investment_activeness_orientation,turnover_rating,turnover_ratio,total_equity_assets,sharehold,outstanding_ratio,hold_portfolio_ratio,sharehold_value,filing_type,sharehold_change,sharehold_value_change,outstanding_ratio_change,sharehold_change_ratio,prev_sharehold,prev_outstanding_ratio,prev_sharehold_value,prev_holding_date,prev_filing_type,source_period_end,disclosure_lag_days,availability_date,point_in_time_eligible
hk,0005.HK,20250219,USD,Quinn (Noel),Strategic Entities,Individual Investor,,LOW,0.0,67463948.93,5736459.0,0.0334,100.0,67463948.93,Regulatory News Service,0.0,0.0,100.0,0.0,5736459.0,0.0334,56540210.26,20241231.0,Regulatory News Service,2025-02-19,0,2025-02-19,True
hk,0005.HK,20250219,USD,Nish (David Thomas),Strategic Entities,Individual Investor,,LOW,0.0,688964.68,50000.0,0.0003,85.35,588027.81,Regulatory News Service,0.0,0.0,100.0,0.0,50000.0,0.0003,492814.56,20241231.0,Regulatory News Service,2025-02-19,0,2025-02-19,True
hk,0005.HK,20250331,USD,Cheung (Kee Wee),Strategic Entities,Individual Investor,,,,2284846.56,0.0,0.0,,0.0,UK Registers,-3692031.0,-41743853.06,0.0,-100.0,3692031.0,0.0215,34320182.61,20241115.0,UK Registers,2025-03-31,0,2025-03-31,True
hk,0005.HK,20251127,USD,Stuart (Ian),Strategic Entities,Individual Investor,,LOW,2.5709,13128744.45,926618.0,0.0054,100.0,13128744.45,Regulatory News Service,11433.0,161987.93,101.89,1.25,915185.0,0.0053,12798628.73,20251027.0,Regulatory News Service,2025-11-27,0,2025-11-27,True
hk,0700.HK,20251231,CNY,Ma (Huateng),Strategic Entities,Individual Investor,,LOW,0.0,61965600336.81,804859700.0,8.8519,100.0,61965600336.81,Hong Kong Insider,0.0,0.0,,,804859700.0,,43215752018.52,20241231.0,Hong Kong Insider,2025-12-31,0,2025-12-31,True
us,AAPL,20250402,USD,Williams (Jeffrey E),Strategic Entities,Individual Investor,,LOW,0.0,82863100.0,389944.0,0.0027,100.0,82863100.0,Insider Update,0.0,0.0,100.0,0.0,389944.0,0.0027,92026784.0,20250102.0,Proxy,2025-04-02,0,2025-04-02,True
us,AAPL,20251107,USD,Kondo (Christopher),Strategic Entities,Individual Investor,,MED,72.7285,2741932.05,9833.0,0.0001,100.0,2741932.05,Insider Update,-3752.0,-1046245.2,100.0,-27.62,13585.0,0.0001,3672976.45,20251015.0,Insider Update,2025-11-07,0,2025-11-07,True
us,AAPL,20251231,USD,"O'Domhnaill Enterprises, Inc",Strategic Entities,Individual Investor,Passive,,,106798375.92,5303.0,0.0,1.35,1441673.58,13F,5303.0,1441673.58,,0.0,,,,,,2025-12-31,45,2026-02-14,True
us,MSFT,20250930,USD,Hoffman (Reid G),Strategic Entities,Individual Investor,,LOW,0.2561,65066836.41,15905.0,0.0002,12.66,8237994.75,Proxy,0.0,0.0,100.0,0.0,15905.0,0.0002,6843921.5,20240930.0,Proxy,2025-09-30,0,2025-09-30,True
us,MSFT,20250930,USD,Pritzker (Penny S),Strategic Entities,Individual Investor,,LOW,0.0,8506220.5,12000.0,0.0002,73.07,6215400.0,Proxy,0.0,0.0,100.0,0.0,12000.0,0.0002,5163600.0,20240930.0,Proxy,2025-09-30,0,2025-09-30,True
us,MSFT,20250930,USD,Walmsley (Emma Natasha),Strategic Entities,Individual Investor,,LOW,6.0689,64957331.04,9913.0,0.0001,7.9,5134438.35,Proxy,0.0,0.0,100.0,0.0,9913.0,0.0001,4265563.9,20240930.0,Proxy,2025-09-30,0,2025-09-30,True
us,MSFT,20250930,USD,Johnston (Hugh F),Strategic Entities,Individual Investor,,LOW,13.4319,8277669.85,7750.0,0.0001,48.49,4014112.5,Proxy,0.0,0.0,100.0,0.0,7750.0,0.0001,3334825.0,20240930.0,Proxy,2025-09-30,0,2025-09-30,True
us,MSFT,20250930,USD,Rainey (John D),Strategic Entities,Individual Investor,,HIGH,123.6916,43712603.63,6498.0,0.0001,7.7,3365639.1,Proxy,6498.0,3365639.1,,0.0,,,,,,2025-09-30,0,2025-09-30,True
us,MSFT,20250930,USD,Peterson (Sandra E),Strategic Entities,Individual Investor,,LOW,0.0,2796930.0,5400.0,0.0001,100.0,2796930.0,Proxy,0.0,0.0,100.0,0.0,5400.0,0.0001,2323620.0,20240930.0,Proxy,2025-09-30,0,2025-09-30,True
us,MSFT,20251110,USD,Nadella (Satya),Strategic Entities,Individual Investor,,LOW,2.5435,443655156.05,896595.0,0.0121,100.0,441133705.95,Insider Update,-3977.0,-1956723.77,100.0,-0.44,900572.0,0.0121,466451267.4,20250930.0,Proxy,2025-11-10,0,2025-11-10,True
us,MSFT,20251231,USD,"O'Domhnaill Enterprises, Inc",Strategic Entities,Individual Investor,Passive,,,106798375.92,4164.0,0.0001,1.89,2013793.68,13F,4164.0,2013793.68,,0.0,,,,,,2025-12-31,45,2026-02-14,True
